vendor_name,category,name,unit,price_cents,in_stock,product_code
White Dog S.r.l.,Beverage,"0,700 lt  TEB001",0.7L Bottle,2950,true,
White Dog S.r.l.,Beverage,"0,700 lt  DLD001",0.7L Bottle,1570,true,
White Dog S.r.l.,Beverage,"0,700 lt  DLD002",0.7L Bottle,1570,true,
White Dog S.r.l.,Beverage,"0,700 lt  DLD011",0.7L Bottle,1735,true,
White Dog S.r.l.,Beverage,1 lt DLL004,Bottle,1465,true,
White Dog S.r.l.,Beverage,1 lt DLL003,Bottle,1895,true,
White Dog S.r.l.,Beverage,"0,700 lt  DLD007",0.7L Bottle,1525,true,
White Dog S.r.l.,Beverage,1 lt DLL002,Bottle,1525,true,
White Dog S.r.l.,Beverage,1 lt DLL001,Bottle,1565,true,
White Dog S.r.l.,Beverage,"0,700 lt  DLD004",0.7L Bottle,1525,true,
White Dog S.r.l.,Beverage,"0,700 lt  DLD013",0.7L Bottle,1525,true,
White Dog S.r.l.,Beverage,"0,700 lt  DLD008",0.7L Bottle,1570,true,
White Dog S.r.l.,Beverage,"0,700 lt  DLD006",0.7L Bottle,1735,true,
White Dog S.r.l.,Beverage,"0,700 lt  DLD003",0.7L Bottle,1889,true,
White Dog S.r.l.,Beverage,"0,700 lt  DLD014",0.7L Bottle,1889,true,
White Dog S.r.l.,Beverage,"0,700 lt  DLD005",0.7L Bottle,1550,true,
